Rank,Team,Record,Rating,Normalized,Conference
1,Ohio State,7-0,980.31,1.0,Big Ten
2,Indiana,7-0,666.36,0.68,Big Ten
3,Miami,5-1,547.96,0.559,ACC
4,Oregon,6-1,506.01,0.516,Big Ten
5,Texas Tech,6-1,502.63,0.513,Big 12
6,Oklahoma,6-1,491.35,0.501,SEC
7,Texas,5-2,428.76,0.437,SEC
8,Utah,5-2,425.3,0.434,Big 12
9,Notre Dame,5-2,411.92,0.42,FBS Independents
10,Illinois,5-2,405.55,0.414,Big Ten
11,BYU,7-0,403.58,0.412,Big 12
12,Washington,5-2,386.31,0.394,Big Ten
13,Alabama,6-1,367.02,0.374,SEC
14,LSU,5-2,356.87,0.364,SEC
15,Cincinnati,6-1,336.66,0.343,Big 12
16,Louisville,5-1,334.75,0.341,ACC
17,Florida State,3-4,333.33,0.34,ACC
18,Missouri,6-1,332.35,0.339,SEC
19,Texas A&M,7-0,326.46,0.333,SEC
20,USC,5-2,323.17,0.33,Big Ten
21,Vanderbilt,6-1,322.41,0.329,SEC
22,Georgia,6-1,320.73,0.327,SEC
23,Michigan,5-2,308.37,0.315,Big Ten
24,Florida,3-4,305.31,0.311,SEC
25,Minnesota,5-2,294.97,0.301,Big Ten
26,Nebraska,5-2,291.61,0.297,Big Ten
27,Iowa,5-2,287.8,0.294,Big Ten
28,Georgia Tech,7-0,282.34,0.288,ACC
29,South Florida,6-1,272.46,0.278,American Athletic
30,Kansas,4-3,271.66,0.277,Big 12
31,Ole Miss,6-1,266.45,0.272,SEC
32,Tennessee,5-2,260.84,0.266,SEC
33,Virginia,6-1,253.76,0.259,ACC
34,Pittsburgh,5-2,248.82,0.254,ACC
35,UCF,4-3,236.69,0.241,Big 12
36,Iowa State,5-2,231.75,0.236,Big 12
37,Duke,4-3,211.16,0.215,ACC
38,Mississippi State,4-3,208.95,0.213,SEC
39,Arizona State,5-2,197.49,0.201,Big 12
40,NC State,4-3,195.21,0.199,ACC
