Rank,Team,Record,Rating,Normalized,Conference
1,Indiana,16-0,664.53,1.0,Big Ten
2,Ohio State,12-2,644.7,0.97,Big Ten
3,Texas Tech,12-2,535.01,0.805,Big 12
4,Miami,13-3,498.34,0.75,ACC
5,Oregon,13-2,479.86,0.722,Big Ten
6,Notre Dame,10-2,429.6,0.646,FBS Independents
7,Utah,11-2,397.33,0.598,Big 12
8,Ole Miss,13-2,378.8,0.57,SEC
9,Texas A&M,11-2,374.63,0.564,SEC
10,Georgia,12-2,370.11,0.557,SEC
11,Alabama,11-4,363.96,0.548,SEC
12,BYU,12-2,350.26,0.527,Big 12
13,Oklahoma,10-3,348.28,0.524,SEC
14,Iowa,9-4,334.1,0.503,Big Ten
15,Vanderbilt,10-3,324.88,0.489,SEC
16,Washington,9-4,319.02,0.48,Big Ten
17,USC,9-4,293.44,0.442,Big Ten
18,Penn State,7-6,285.2,0.429,Big Ten
19,Missouri,8-5,272.6,0.41,SEC
20,Florida State,5-7,267.1,0.402,ACC
21,Texas,10-3,265.24,0.399,SEC
22,Illinois,9-4,261.55,0.394,Big Ten
23,Arizona,9-4,256.19,0.386,Big 12
24,Michigan,9-4,252.71,0.38,Big Ten
25,SMU,9-4,241.5,0.363,ACC
26,Virginia,11-3,232.3,0.35,ACC
27,Tennessee,8-5,230.49,0.347,SEC
28,Louisville,9-4,226.14,0.34,ACC
29,Auburn,5-7,210.55,0.317,SEC
30,Pittsburgh,8-5,208.17,0.313,ACC
31,LSU,7-6,206.71,0.311,SEC
32,Iowa State,8-4,201.26,0.303,Big 12
33,Georgia Tech,9-4,190.6,0.287,ACC
34,TCU,9-4,190.34,0.286,Big 12
35,South Florida,9-4,190.06,0.286,American Athletic
36,Clemson,7-6,186.75,0.281,ACC
37,NC State,8-5,180.11,0.271,ACC
38,James Madison,12-2,175.11,0.264,Sun Belt
39,Florida,4-8,170.0,0.256,SEC
40,Nebraska,7-6,169.24,0.255,Big Ten
41,Arizona State,8-5,164.58,0.248,Big 12
42,South Carolina,4-8,160.09,0.241,SEC
43,Toledo,8-5,152.53,0.23,Mid-American
44,Houston,10-3,152.14,0.229,Big 12
45,Cincinnati,7-6,146.79,0.221,Big 12
46,East Carolina,9-4,142.56,0.215,American Athletic
47,North Texas,12-2,141.12,0.212,American Athletic
48,Arkansas,2-10,138.02,0.208,SEC
49,Wake Forest,9-4,137.35,0.207,ACC
50,Northwestern,7-6,136.95,0.206,Big Ten
51,Old Dominion,10-3,135.91,0.205,Sun Belt
52,Kansas,5-7,134.73,0.203,Big 12
53,Kansas State,6-6,134.18,0.202,Big 12
54,Duke,9-5,126.65,0.191,ACC
55,Rutgers,5-7,124.55,0.187,Big Ten
56,Baylor,5-7,124.47,0.187,Big 12
57,Minnesota,8-5,119.18,0.179,Big Ten
58,Mississippi State,5-8,116.17,0.175,SEC
59,Kentucky,5-7,105.63,0.159,SEC
60,UCF,5-7,81.23,0.122,Big 12
61,San Diego State,9-4,80.18,0.121,Mountain West
62,Michigan State,4-8,74.97,0.113,Big Ten
63,Navy,11-2,73.79,0.111,American Athletic
64,Tulane,11-3,68.12,0.103,American Athletic
65,Washington State,7-6,59.8,0.09,Pac-12
66,Memphis,8-5,58.22,0.088,American Athletic
67,Boise State,9-5,57.61,0.087,Mountain West
68,Maryland,4-8,39.99,0.06,Big Ten
69,Virginia Tech,3-9,37.52,0.056,ACC
70,Wisconsin,4-8,20.58,0.031,Big Ten
71,West Virginia,4-8,13.62,0.02,Big 12
72,Western Michigan,10-4,12.64,0.019,Mid-American
73,UTSA,7-6,9.5,0.014,American Athletic
74,California,7-6,8.87,0.013,ACC
75,Purdue,2-10,-0.15,-0.0,Big Ten
76,Fresno State,9-4,-6.71,-0.01,Mountain West
77,New Mexico,9-4,-12.46,-0.019,Mountain West
78,UCLA,3-9,-15.01,-0.023,Big Ten
79,Ohio,9-4,-18.24,-0.027,Mid-American
80,Boston College,2-10,-33.78,-0.051,ACC
81,Hawai'i,9-4,-36.87,-0.055,Mountain West
